name,tic_id,stage1_rank,GM,GL,EM,CM,lya,fuv,acq,Tacq,GMbuff,GLbuff,EMbuff,Mdwarf,lbl1,lbl2
K2-9,82050863,131,1,,,,1,,F28X50LP,6.7,21906.8,17006.9,45236.2,True,AV,NV
TOI-6992,259330386,132,1,1,,,1,1,F28X50LP,0.1,17250.0,12628.6,37626.7,False,AW,NW
TOI-870,219229644,135,1,1,,,1,1,F28X50LP,0.1,10167.9,7869.4,20716.9,False,AX,NX
TOI-133,219338557,136,1,,,1,1,1,F28X50LP,0.1,26723.2,20682.3,54448.1,False,AY,NY
TOI-2079,224298134,138,1,1,,,1,1,F28X50LP,0.1,35528.8,27497.4,72389.4,True,AZ,NZ
Kepler-10,377780790,141,1,,,,1,,F25ND3,55.8,705917.5,533493.7,1410638.1,False,BA,OA
K2-174,243014114,148,1,,,,1,,F28X50LP,0.3,30487.1,22319.4,66500.1,False,BB,OB
TOI-5788,42883782,139,1,,,,1,,F25ND3,16.3,425887.8,321862.6,851053.4,False,BC,OC
TOI-727,149788158,147,1,1,,,1,1,F28X50LP,0.1,21826.7,16892.7,44471.5,True,BD,OD
TOI-6871,426471754,153,1,1,,,1,1,F25ND3,7.5,78674.2,59457.6,157215.0,False,BF,OF
TOI-2287,160077104,156,1,,,,1,,F25ND3,5.7,4113835.1,1512804.3,4022151.0,False,BG,OG
HD 118203,286923464,169,1,1,,,1,1,F25ND3,0.9,25290.8,19113.4,50538.7,False,BH,OH
TOI-4185,152563846,158,1,,,,1,,F28X50LP,0.1,21631.4,15836.2,47183.6,False,BI,OI
TOI-270,259377017,86,1,,,,1,,F28X50LP,0.1,7950.1,6171.9,16416.5,True,BJ,OJ
TOI-771,277634430,145,1,,,,1,,F28X50LP,1.7,186708397.6,144947254.8,385541621.9,True,BK,OK
Kepler-138,159376971,160,1,,,,1,,F28X50LP,0.3,577044.3,446601.6,1175719.4,True,BL,OL
TOI-1752,287139872,164,1,1,,,1,1,F28X50LP,1.2,59013.4,45673.2,120239.0,True,BM,OM
TOI-4643,270355392,166,1,1,,,1,1,F28X50LP,0.1,19237.6,14888.9,39196.3,True,BN,ON
K2-25,434226736,374,,,,1,,1,F28X50LP,0.6,240089.3,188204.4,485880.2,True,BO,OO
Kepler-444,394172596,560,,,,1,,1,F25ND3,2.3,55288.6,40305.2,122997.4,False,BP,OP
TOI-2158,342642208,168,1,,,,1,,F25ND3,45.2,1660431.5,1254863.0,3318047.5,False,BQ,OQ
TOI-4556,107018378,171,,,1,1,1,1,F28X50LP,4.2,43948.9,34118.8,90751.8,True,BR,OR
TOI-6054,392681545,175,1,1,,,1,1,F25ND3,1.3,566875.1,208460.2,554241.2,False,BS,OS
TOI-4529,384888319,167,1,,,1,1,1,F28X50LP,0.1,2306248.3,1784913.4,4698947.1,True,CD,PD
WASP-8,183532609,173,1,,,,1,,F25ND3,11.0,194000.3,146614.7,387671.6,False,CE,PE
