Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity,Comments
TOI-1691,272.40611262718,1.1500000255182385e-05,86.85964629897,1.1500000255182385e-05,ICRS,2000.0,-25.372,MAS/YR,161.794,MAS/YR,0.0088871,10.134,0.004,G=9.98,STAR,"[G V-IV, Extra-solar Planetary System]",-56.97,Predicted Lya flux before ISM absorption 3.4e-14;FUV used for buffer time estimate 22.68;deemed INACTIVE on the basis of age > 1;stellar mass 1.03;stellar Teff 5759.00;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;cataloged age of 7 Gyr
TOI-6850,352.1561622121201,1.5699999494245276e-05,-23.27015153635,1.5699999494245276e-05,ICRS,2000.0,214.356,MAS/YR,-79.464,MAS/YR,0.0123685,11.079999923706055,,"G=11.16, NUV=19.72",STAR,"[K V-IV, Extra-solar Planetary System]",-31.15,Predicted Lya flux before ISM absorption 1.0e-13;FUV used for buffer time estimate 23.47;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.68;stellar Teff 4275.70;GALEX fuv mag > 23.47;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-122,332.94708067809,1.1900000572495628e-05,-58.94506988709,1.1900000572495628e-05,ICRS,2000.0,138.365,MAS/YR,-235.771,MAS/YR,0.0160671,15.526,0.026,G=14.31,STAR,"[M V-IV, Extra-solar Planetary System]",-72.4,Predicted Lya flux before ISM absorption 6.3e-15;FUV used for buffer time estimate 32.78;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.31;stellar Teff 3403.00;GALEX fuv mag > 21.83;Rossby number estimate of 9.93 based on measured 72.0 d rotation period;cataloged age of 2 Gyr
K2-9,176.26445900183003,2.5200000891345553e-05,0.00529399802,2.5200000891345553e-05,ICRS,2000.0,-170.726,MAS/YR,26.593,MAS/YR,0.012054,15.86,0.195,"G=14.85, NUV=22.70, FUV=22.95",STAR,"[M V-IV, Extra-solar Planetary System]",-31.02,Predicted Lya flux before ISM absorption 1.4e-14;FUV used for buffer time estimate 22.95;deemed ACTIVE on the basis of fuv more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.30;stellar Teff 3390.00;GALEX fuv mag = 22.95;Rossby number unknown due to no cataloged rotation period;cataloged age of 1 Gyr
TOI-6992,70.71498356751168,1.559999873279594e-05,51.52748783915667,1.559999873279594e-05,ICRS,2000.0,49.73,MAS/YR,-72.302,MAS/YR,0.011986100000000001,11.843000411987305,,"G=11.48, NUV=19.98",STAR,"[K V-IV, Extra-solar Planetary System]",2.75,Predicted Lya flux before ISM absorption 8.3e-14;FUV used for buffer time estimate 20.93;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.70;stellar Teff 4448.20;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-870,63.31857206127001,1.1800000720540993e-05,-50.94447787187999,1.1800000720540993e-05,ICRS,2000.0,105.1,MAS/YR,50.312,MAS/YR,0.0185825,12.539999961853027,,"G=11.77, NUV=21.48",STAR,"[K V-IV, Extra-solar Planetary System]",50.77,Predicted Lya flux before ISM absorption 4.1e-14;FUV used for buffer time estimate 21.10;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.59;stellar Teff 3927.00;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-133,354.39573245999,8.600000001024455e-06,-58.95463620293,8.600000001024455e-06,ICRS,2000.0,196.655,MAS/YR,-102.693,MAS/YR,0.0206271,11.550000190734863,,"G=10.72, NUV=19.96",STAR,"[K V-IV, Extra-solar Planetary System]",38.03,Predicted Lya flux before ISM absorption 1.2e-13;FUV used for buffer time estimate 22.15;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.63;stellar Teff 4028.00;GALEX fuv mag > 22.15;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-2079,185.33939802561,1.3299999409355223e-05,57.7524667945,1.3299999409355223e-05,ICRS,2000.0,-149.278,MAS/YR,-23.939,MAS/YR,0.0270427,12.815999984741211,,"G=11.95, NUV=20.76, FUV=22.46",STAR,"[M V-IV, Extra-solar Planetary System]",2.48355,Predicted Lya flux before ISM absorption 1.2e-13;FUV used for buffer time estimate 22.46;deemed ACTIVE on the basis of fuv more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.45;stellar Teff 3577.00;GALEX fuv mag = 22.46;Rossby number unknown due to no cataloged rotation period;no cataloged age
K2-174,60.79283042168001,1.52000002344721e-05,16.34743384749,1.52000002344721e-05,ICRS,2000.0,31.745,MAS/YR,-62.216,MAS/YR,0.0099777,12.456,0.069,"G=12.00, NUV=20.90",STAR,"[K V-IV, Extra-solar Planetary System]",-0.67004,Predicted Lya flux before ISM absorption 4.1e-14;FUV used for buffer time estimate 21.55;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.70;stellar Teff 4455.00;GALEX fuv mag > 21.06;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-5788,287.42481382893,8.89999955688836e-06,31.76101358714,8.89999955688836e-06,ICRS,2000.0,17.353,MAS/YR,119.563,MAS/YR,0.0102688,10.149999618530273,0.005,"G=10.06, NUV=15.54",STAR,"[G V-IV, Extra-solar Planetary System]",-59.36,Predicted Lya flux before ISM absorption 3.5e-14;FUV used for buffer time estimate 23.16;deemed INACTIVE on the basis of age > 1;stellar mass 0.87;stellar Teff 5615.00;GALEX fuv mag > 20.82;Rossby number unknown due to no cataloged rotation period;cataloged age of 6 Gyr
