name,slctd,rank,name,slctd,rank,name,slctd,rank,diff,name,slctd,rank,diff
TOI-2095,1,82,TOI-198,1,86,TOI-198,1,86,1,HD 183579,1,86,2
TOI-2095,1,82,HD 183579,1,87,HD 183579,1,87,1,TOI-2015,1,87,-10
K2-3,1,84,TOI-2015,1,88,TOI-2015,1,88,-11,TOI-1728,1,88,1
K2-3,1,84,TOI-1728,1,89,TOI-1728,1,89,0,TOI-233,1,90,1
K2-3,1,84,TOI-233,1,91,TOI-233,1,91,0,TOI-233,1,90,1
HD 17156,1,85,TOI-233,1,91,TOI-233,1,91,0,TOI-1452,1,91,3
TOI-1730,1,86,TOI-1452,1,92,TOI-1452,1,92,2,TOI-6078,1,92,0
TOI-1730,1,86,TOI-6078,1,93,TOI-6078,1,93,-1,TOI-6078,1,92,0
TOI-1730,1,86,TOI-6078,1,93,TOI-6078,1,93,-1,TOI-4438,1,93,0
TOI-198,1,87,TOI-4438,1,94,TOI-4438,1,94,-1,TOI-4336 A,1,94,1
HD 183579,1,88,TOI-4336 A,1,95,TOI-4336 A,1,95,0,TOI-904,1,95,1
TOI-1728,1,89,TOI-904,1,96,TOI-904,1,96,0,TOI-904,1,95,1
TOI-233,1,91,TOI-904,1,96,TOI-904,1,96,0,TOI-687,1,96,2
TOI-233,1,91,TOI-687,1,97,TOI-687,1,97,1,TOI-1696,1,97,4
TOI-6078,1,92,TOI-1696,1,98,TOI-1696,1,98,3,TOI-1751,1,98,1
TOI-6078,1,92,TOI-1751,1,99,TOI-1751,1,99,0,TOI-480,1,99,1
TOI-4438,1,93,TOI-480,1,100,TOI-480,1,100,0,TOI-1691,1,100,15
TOI-1452,1,94,TOI-1691,1,101,TOI-1691,1,101,14,TOI-2459,1,101,1
TOI-4336 A,1,95,TOI-2459,1,102,TOI-2459,1,102,0,GJ 3090,1,102,1
TOI-904,1,96,GJ 3090,1,103,GJ 3090,1,103,0,TOI-2276,1,103,1
TOI-904,1,96,TOI-2276,1,104,TOI-2276,1,104,0,TOI-1718,1,104,1
TOI-4189,1,97,TOI-1718,1,105,TOI-1718,1,105,0,HD 332231,1,105,1
TOI-687,1,98,HD 332231,1,106,HD 332231,1,106,0,HD 35843,1,106,
TOI-1751,1,99,HD 35843,1,107,HD 35843,1,107,,TOI-1742,1,107,0
TOI-480,1,100,TOI-1742,1,108,TOI-1742,1,108,-1,TOI-1268,1,108,0
TOI-1696,1,101,TOI-1268,1,109,TOI-1268,1,109,-1,TOI-1451,1,109,1
TOI-2459,1,102,TOI-1451,1,110,TOI-1451,1,110,0,KELT-2 A,1,110,-1
GJ 3090,1,103,KELT-2 A,1,111,KELT-2 A,1,111,-2,TOI-286,1,111,0
TOI-2276,1,104,TOI-286,1,112,TOI-286,1,112,-1,TOI-286,1,111,0
TOI-1718,1,105,TOI-286,1,112,TOI-286,1,112,-1,TOI-1801,1,112,0
HD 332231,1,106,TOI-1801,1,113,TOI-1801,1,113,-1,TOI-1235,1,113,0
TOI-1742,1,107,TOI-1235,1,114,TOI-1235,1,114,-1,HD 3167,1,114,0
TOI-1268,1,108,HD 3167,1,115,HD 3167,1,115,-1,HD 3167,1,114,0
KELT-2 A,1,109,HD 3167,1,115,HD 3167,1,115,-1,TOI-6850,1,115,1
TOI-1451,1,110,TOI-6850,1,116,TOI-6850,1,116,0,TOI-257,1,116,1
TOI-286,1,111,TOI-257,1,117,TOI-257,1,117,0,TOI-620,1,117,2
TOI-286,1,111,TOI-620,1,118,TOI-620,1,118,1,TOI-122,1,118,0
TOI-1801,1,112,TOI-122,1,119,TOI-122,1,119,-1,K2-9,1,119,1
TOI-1235,1,113,K2-9,1,120,K2-9,1,120,0,TOI-6992,1,120,1
HD 3167,1,114,TOI-6992,1,121,TOI-6992,1,121,0,TOI-2136,1,121,1
HD 3167,1,114,TOI-2136,1,122,TOI-2136,1,122,0,HD 23472,1,122,1
TOI-1691,1,115,HD 23472,1,123,HD 23472,1,123,0,HD 23472,1,122,1
TOI-6850,1,116,HD 23472,1,123,HD 23472,1,123,0,HD 23472,1,122,1
TOI-257,1,117,HD 23472,1,123,HD 23472,1,123,0,HD 23472,1,122,1
