# from https://www.stsci.edu/hst/instrumentation/focus-and-pointing/fov-geometry
# Aperture  ProposalID   Xref      Yref     V2ref     V3ref    Xscale    Yscale    Betax    Betay
#                          pixels            arc-seconds         arcsec/pixel         degrees
#
OFUV                       1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ONUV                       1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OVIS                        537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
ON200X60C   0.2X0.06FPC    1050.81   1041.68 -213.5917 -224.7474  0.012375  0.012375   45.0000  135.0000
OV200X60C   0.2X0.06FPC     539.44    516.00 -213.5917 -224.7474  0.050763  0.050777   45.0559  135.0559
OF200X60D   0.2X0.06FPD    1031.50   1041.67 -213.7588 -224.9142  0.012371  0.012371   45.0000  135.0000
ON200X60D   0.2X0.06FPD    1031.49   1041.66 -213.7588 -224.9142  0.012375  0.012375   45.0000  135.0000
OV200X60D   0.2X0.06FPD     534.79    516.00 -213.7588 -224.9142  0.050763  0.050777   45.0559  135.0559
OF200X60E   0.2X0.06FPE    1060.21   1041.69 -213.5105 -224.6664  0.012371  0.012371   45.0000  135.0000
ON200X60E   0.2X0.06FPE    1060.20   1041.69 -213.5105 -224.6664  0.012375  0.012375   45.0000  135.0000
OV200X60E   0.2X0.06FPE     541.70    516.00 -213.5105 -224.6664  0.050763  0.050777   45.0559  135.0559
OF200A      0.2X0.2FPA     1040.27   1041.68 -213.6830 -224.8385  0.012371  0.012371   45.0000  135.0000
ON200A      0.2X0.2FPA     1040.26   1041.67 -213.6830 -224.8385  0.012375  0.012375   45.0000  135.0000
OV200A      0.2X0.2FPA      536.90    516.00 -213.6830 -224.8385  0.050763  0.050777   45.0559  135.0559
OF200B      0.2X0.2FPB     1074.96   1041.71 -213.3830 -224.5391  0.012371  0.012371   45.0000  135.0000
ON200B      0.2X0.2FPB     1074.94   1041.70 -213.3830 -224.5391  0.012375  0.012375   45.0000  135.0000
OV200B      0.2X0.2FPB      545.25    516.00 -213.3830 -224.5391  0.050763  0.050777   45.0559  135.0559
OF200C      0.2X0.2FPC     1044.38   1041.68 -213.6474 -224.8030  0.012371  0.012371   45.0000  135.0000
ON200C      0.2X0.2FPC     1044.37   1041.67 -213.6474 -224.8030  0.012375  0.012375   45.0000  135.0000
OV200C      0.2X0.2FPC      537.89    516.00 -213.6474 -224.8030  0.050763  0.050777   45.0559  135.0559
OF200D      0.2X0.2FPD     1025.06   1041.66 -213.8145 -224.9697  0.012371  0.012371   45.0000  135.0000
ON200D      0.2X0.2FPD     1025.06   1041.66 -213.8145 -224.9697  0.012375  0.012375   45.0000  135.0000
OV200D      0.2X0.2FPD      533.24    516.00 -213.8145 -224.9697  0.050763  0.050777   45.0559  135.0559
OF200E      0.2X0.2FPE     1053.73   1041.69 -213.5666 -224.7223  0.012371  0.012371   45.0000  135.0000
ON200E      0.2X0.2FPE     1053.72   1041.68 -213.5666 -224.7223  0.012375  0.012375   45.0000  135.0000
OV200E      0.2X0.2FPE      540.14    516.00 -213.5666 -224.7223  0.050763  0.050777   45.0559  135.0559
OV50COR     50CORON         540.33    516.00 -213.5599 -224.7156  0.050763  0.050777   45.0559  135.0559
OVBAR10     BAR10           644.22    846.21 -197.9826 -232.8577  0.050763  0.050777   45.0559  135.0559
OVBAR5                      963.85    704.69 -191.5745 -216.3097  0.050763  0.050777   45.0559  135.0559
OVWGA10     WEDGEA1.0       329.50    214.57 -231.9472 -221.4423  0.050763  0.050777   45.0559  135.0559
OVWGA18     WEDGEA1.8       330.99    534.93 -220.4022 -232.9029  0.050763  0.050777   45.0559  135.0559
OVWGA20     WEDGEA2.0       331.37    615.02 -217.5160 -235.7680  0.050763  0.050777   45.0559  135.0559
OVWGA25     WEDGEA2.5       332.30    815.25 -210.3004 -242.9308  0.050763  0.050777   45.0559  135.0559
OVWGA28     WEDGEA2.8       332.85    935.39 -205.9711 -247.2285  0.050763  0.050777   45.0559  135.0559
OVWGB10     WEDGEB1.0       234.71    306.57 -232.0531 -228.1479  0.050763  0.050777   45.0559  135.0559
OVWGB18     WEDGEB1.8       548.10    305.52 -220.8310 -216.8723  0.050763  0.050777   45.0559  135.0559
OVWGB20     WEDGEB2.0       626.44    305.25 -218.0254 -214.0534  0.050763  0.050777   45.0559  135.0559
OVWGB25     WEDGEB2.5       822.31    304.60 -211.0116 -207.0061  0.050763  0.050777   45.0559  135.0559
OVWGB28     WEDGEB2.8       939.82    304.20 -206.8032 -202.7777  0.050763  0.050777   45.0559  135.0559
ON50COR     50CORON        1054.49   1041.68 -213.5599 -224.7156  0.012375  0.012375   45.0000  135.0000
ONBAR10     BAR10          1484.68   2401.74 -197.9826 -232.8577  0.012375  0.012375   45.0000  135.0000
ONBAR5                     2812.86   1820.34 -191.5745 -216.3097  0.012375  0.012375   45.0000  135.0000
ONWGA10     WEDGEA1.0       180.02   -200.33 -231.9472 -221.4423  0.012375  0.012375   45.0000  135.0000
ONWGA18     WEDGEA1.8       184.92   1118.79 -220.4022 -232.9029  0.012375  0.012375   45.0000  135.0000
ONWGA20     WEDGEA2.0       186.14   1448.57 -217.5160 -235.7680  0.012375  0.012375   45.0000  135.0000
